languge,age,participant,pronoun,share
ger,20.266666666666666,ADU,1sg,0.04
ger,20.266666666666666,ADU,1sg,0.010043041606886656
ger,20.266666666666666,CHI,1sg,0.015503875968992248
ger,20.733333333333334,ADU,1sg,0.0072992700729927005
ger,20.733333333333334,ADU,1sg,0.017341040462427744
ger,20.733333333333334,CHI,1sg,0.016853932584269662
ger,20.766666666666666,ADU,1sg,0.015600624024960999
ger,20.766666666666666,CHI,1sg,0.037383177570093455
ger,20.8,ADU,1sg,0
ger,20.8,ADU,1sg,0.006896551724137931
ger,20.8,CHI,1sg,0.01845018450184502
ger,20.9,ADU,1sg,0.07407407407407407
ger,20.9,ADU,1sg,0.008412197686645636
ger,20.9,CHI,1sg,0.02403846153846154
ger,20.966666666666665,ADU,1sg,0.005994005994005994
ger,20.966666666666665,CHI,1sg,0.006097560975609756
ger,21.066666666666666,ADU,1sg,0.011073253833049404
ger,21.066666666666666,CHI,1sg,0.013333333333333334
ger,21.1,ADU,1sg,0.01956521739130435
ger,21.1,CHI,1sg,0.024242424242424242
ger,21.133333333333333,ADU,1sg,0.004640371229698376
ger,21.133333333333333,CHI,1sg,0.012903225806451613
ger,21.166666666666668,ADU,1sg,0
ger,21.166666666666668,CHI,1sg,0
ger,21.2,ADU,1sg,0.024886877828054297
ger,21.2,CHI,1sg,0.026785714285714284
ger,21.233333333333334,ADU,1sg,0.014778325123152709
ger,21.233333333333334,CHI,1sg,0.045454545454545456
ger,21.466666666666665,ADU,1sg,0
ger,21.466666666666665,ADU,1sg,0.010403120936280884
ger,21.466666666666665,CHI,1sg,0.015779092702169626
ger,21.5,ADU,1sg,0
ger,21.5,ADU,1sg,0.008968609865470852
ger,21.5,CHI,1sg,0
ger,21.533333333333335,ADU,1sg,0.017045454545454544
ger,21.533333333333335,CHI,1sg,0.01834862385321101
ger,21.666666666666668,ADU,1sg,0.041379310344827586
ger,21.666666666666668,CHI,1sg,0
ger,21.866666666666667,ADU,1sg,0.023907666941467436
ger,21.866666666666667,CHI,1sg,0.03017241379310345
ger,21.9,ADU,1sg,0.017017828200972446
ger,21.9,CHI,1sg,0.01606425702811245
ger,21.933333333333334,ADU,1sg,0.0425531914893617
ger,21.933333333333334,ADU,1sg,0.024531024531024532
ger,21.933333333333334,CHI,1sg,0.041666666666666664
ger,21.966666666666665,ADU,1sg,0.02389937106918239
ger,21.966666666666665,CHI,1sg,0.028938906752411574
ger,22,ADU,1sg,0.01284796573875803
ger,22,CHI,1sg,0.01639344262295082
ger,22.533333333333335,ADU,1sg,0.015503875968992248
ger,22.533333333333335,CHI,1sg,0.010752688172043012
ger,22.566666666666666,ADU,1sg,0.01962110960757781
ger,22.566666666666666,CHI,1sg,0.022321428571428572
ger,22.6,ADU,1sg,0.009111617312072893
ger,22.6,CHI,1sg,0.03614457831325301
ger,22.633333333333333,ADU,1sg,0.015748031496062992
ger,22.633333333333333,CHI,1sg,0
ger,22.766666666666666,ADU,1sg,0.005681818181818182
ger,22.766666666666666,CHI,1sg,0
ger,22.866666666666667,ADU,1sg,0.008707300736771601
ger,22.866666666666667,CHI,1sg,0.007142857142857143
ger,22.9,ADU,1sg,0.007587253414264037
ger,22.9,CHI,1sg,0.0031645569620253164
ger,22.933333333333334,ADU,1sg,0.01680672268907563
ger,22.933333333333334,CHI,1sg,0.024390243902439025
ger,22.966666666666665,ADU,1sg,0.023255813953488372
ger,22.966666666666665,CHI,1sg,0.038461538461538464
ger,23,ADU,1sg,0.004629629629629629
ger,23,CHI,1sg,0.007042253521126761
ger,23.066666666666666,ADU,1sg,0.01306532663316583
ger,23.066666666666666,CHI,1sg,0.03636363636363636
ger,23.1,ADU,1sg,0.023773006134969327
ger,23.1,CHI,1sg,0.042666666666666665
ger,23.133333333333333,ADU,1sg,0.004576659038901602
ger,23.133333333333333,CHI,1sg,0
ger,23.233333333333334,ADU,1sg,0.0056568196103079825
ger,23.233333333333334,CHI,1sg,0.00963855421686747
ger,23.266666666666666,ADU,1sg,0.013383297644539615
ger,23.266666666666666,CHI,1sg,0.01991150442477876
ger,23.333333333333332,ADU,1sg,0
ger,23.333333333333332,CHI,1sg,0
ger,23.466666666666665,ADU,1sg,0.05245901639344262
ger,23.466666666666665,CHI,1sg,0.05925925925925926
ger,23.5,ADU,1sg,0
ger,23.5,ADU,1sg,0.009036144578313253
ger,23.5,CHI,1sg,0.00646551724137931
ger,23.566666666666666,ADU,1sg,0.0163265306122449
ger,23.566666666666666,CHI,1sg,0.011049723756906077
ger,23.633333333333333,ADU,1sg,0
ger,23.633333333333333,ADU,1sg,0.0040114613180515755
ger,23.633333333333333,CHI,1sg,0.008771929824561403
ger,23.966666666666665,ADU,1sg,0.008064516129032258
ger,23.966666666666665,CHI,1sg,0.018518518518518517
ger,24.033333333333335,ADU,1sg,0.38461538461538464
ger,24.033333333333335,ADU,1sg,0.008333333333333333
ger,24.033333333333335,CHI,1sg,0
ger,24.066666666666666,ADU,1sg,0.06513409961685823
ger,24.066666666666666,CHI,1sg,0.039603960396039604
ger,24.133333333333333,ADU,1sg,0.0378619153674833
ger,24.133333333333333,CHI,1sg,0.04415011037527594
ger,24.166666666666668,ADU,1sg,0.009695290858725761
ger,24.166666666666668,CHI,1sg,0.01675977653631285
ger,24.2,ADU,1sg,0.022587268993839837
ger,24.2,CHI,1sg,0.023529411764705882
ger,24.233333333333334,ADU,1sg,0.03571428571428571
ger,24.233333333333334,ADU,1sg,0.013377926421404682
ger,24.233333333333334,CHI,1sg,0.02304147465437788
ger,24.333333333333332,ADU,1sg,0.04757929883138564
ger,24.333333333333332,CHI,1sg,0.05928853754940711
ger,24.766666666666666,ADU,1sg,0.008557457212713936
ger,24.766666666666666,CHI,1sg,0.016666666666666666
ger,24.8,ADU,1sg,0.020202020202020204
ger,24.8,CHI,1sg,0.043478260869565216
ger,24.866666666666667,ADU,1sg,0.010575793184488837
ger,24.866666666666667,CHI,1sg,0.012875536480686695
ger,24.933333333333334,ADU,1sg,0
ger,24.933333333333334,CHI,1sg,0
ger,25.1,ADU,1sg,0
ger,25.1,ADU,1sg,0.01824212271973466
ger,25.1,CHI,1sg,0.028925619834710745
ger,25.2,ADU,1sg,0.004149377593360996
ger,25.2,CHI,1sg,0.01875
ger,25.233333333333334,ADU,1sg,0.002347417840375587
ger,25.233333333333334,CHI,1sg,0.009615384615384616
ger,25.266666666666666,ADU,1sg,0.05092592592592592
ger,25.266666666666666,CHI,1sg,0.14102564102564102
ger,25.3,ADU,1sg,0.011450381679389313
ger,25.3,CHI,1sg,0.01694915254237288
ger,25.4,ADU,1sg,0
ger,25.4,ADU,1sg,0.009179926560587515
ger,25.4,CHI,1sg,0.014814814814814815
ger,25.466666666666665,ADU,1sg,0.12244897959183673
ger,25.466666666666665,ADU,1sg,0.0210387902695595
ger,25.466666666666665,CHI,1sg,0.046511627906976744
ger,25.5,ADU,1sg,0.019011406844106463
ger,25.5,CHI,1sg,0.037383177570093455
ger,25.7,ADU,1sg,0.027190332326283987
ger,25.7,CHI,1sg,0.05417956656346749
ger,25.733333333333334,ADU,1sg,0.014056224899598393
ger,25.733333333333334,CHI,1sg,0.029556650246305417
ger,25.766666666666666,ADU,1sg,0.02357049323439546
ger,25.766666666666666,CHI,1sg,0.0641025641025641
ger,25.866666666666667,ADU,1sg,0.013177159590043924
ger,25.866666666666667,CHI,1sg,0.022123893805309734
ger,25.933333333333334,ADU,1sg,0.020833333333333332
ger,25.933333333333334,CHI,1sg,0.035545023696682464
ger,25.966666666666665,ADU,1sg,0.023622047244094488
ger,25.966666666666665,CHI,1sg,0.06514657980456026
ger,26,ADU,1sg,0.04950495049504951
ger,26,CHI,1sg,0.07894736842105263
ger,26.1,ADU,1sg,0.01764705882352941
ger,26.1,CHI,1sg,0.021052631578947368
ger,26.133333333333333,ADU,1sg,0.02862595419847328
ger,26.133333333333333,CHI,1sg,0.052845528455284556
ger,26.2,ADU,1sg,0.036571428571428574
ger,26.2,CHI,1sg,0.055855855855855854
ger,26.3,ADU,1sg,0
ger,26.3,ADU,1sg,0.01500441306266549
ger,26.3,CHI,1sg,0.03341288782816229
ger,26.333333333333332,ADU,1sg,0.03111111111111111
ger,26.333333333333332,CHI,1sg,0.045454545454545456
ger,26.4,ADU,1sg,0.05555555555555555
ger,26.4,ADU,1sg,0.019555555555555555
ger,26.4,CHI,1sg,0.04878048780487805
ger,26.433333333333334,ADU,1sg,0.022636484687083888
ger,26.433333333333334,CHI,1sg,0.041791044776119404
ger,26.5,ADU,1sg,0.012345679012345678
ger,26.5,CHI,1sg,0.01775147928994083
ger,26.533333333333335,ADU,1sg,0.02465331278890601
ger,26.533333333333335,CHI,1sg,0.0273972602739726
ger,26.6,ADU,1sg,0
ger,26.6,ADU,1sg,0.02336448598130841
ger,26.6,CHI,1sg,0.029940119760479042
ger,26.7,ADU,1sg,0.006493506493506494
ger,26.7,CHI,1sg,0
ger,26.966666666666665,ADU,1sg,0
ger,26.966666666666665,ADU,1sg,0.029197080291970802
ger,26.966666666666665,CHI,1sg,0.05101058710298364
ger,27,ADU,1sg,0.023699421965317918
ger,27,CHI,1sg,0.051255230125523014
ger,27.066666666666666,ADU,1sg,1
ger,27.066666666666666,ADU,1sg,0.044186046511627906
ger,27.066666666666666,CHI,1sg,0.08053007135575943
ger,27.3,ADU,1sg,0.047619047619047616
ger,27.3,ADU,1sg,0.038366336633663366
ger,27.3,CHI,1sg,0.05527638190954774
ger,27.333333333333332,ADU,1sg,0.023809523809523808
ger,27.333333333333332,CHI,1sg,0.017964071856287425
ger,27.366666666666667,ADU,1sg,0
ger,27.366666666666667,ADU,1sg,0.027952480782669462
ger,27.366666666666667,CHI,1sg,0.03840682788051209
ger,27.4,ADU,1sg,0.01993534482758621
ger,27.4,CHI,1sg,0.03482587064676617
ger,27.6,ADU,1sg,0.031134173461823574
ger,27.6,CHI,1sg,0.0472636815920398
ger,27.666666666666668,ADU,1sg,0.0222007722007722
ger,27.666666666666668,CHI,1sg,0.025396825396825397
ger,27.7,ADU,1sg,0.017857142857142856
ger,27.7,CHI,1sg,0.043478260869565216
ger,27.733333333333334,ADU,1sg,0.03154205607476635
ger,27.733333333333334,CHI,1sg,0.05010438413361169
ger,27.8,ADU,1sg,0.02531645569620253
ger,27.8,ADU,1sg,0.02702702702702703
ger,27.8,CHI,1sg,0.05150214592274678
ger,27.833333333333332,ADU,1sg,0.042842215256008356
ger,27.833333333333332,CHI,1sg,0.06315789473684211
ger,27.9,ADU,1sg,0.03711340206185567
ger,27.9,CHI,1sg,0.028169014084507043
