"","path","filename","languge","childname","participant","pronoun","24","25","26","27","28","29","30","31","32","33","34","35"
"1","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\020409.cha","020409.cha","eng","Barbara","CHI","1pl",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\020409.cha","020409.cha","eng","Barbara","CHI","1sg",NA,NA,NA,NA,0.0155555555555556,NA,NA,NA,NA,NA,NA,NA
"3","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\020409.cha","020409.cha","eng","Barbara","CHI","2",NA,NA,NA,NA,0.0311111111111111,NA,NA,NA,NA,NA,NA,NA
"4","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\020409.cha","020409.cha","eng","Barbara","CHI","3",NA,NA,NA,NA,0.0955555555555556,NA,NA,NA,NA,NA,NA,NA
"5","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\020409.cha","020409.cha","eng","Barbara","CHI","3pl",NA,NA,NA,NA,0.0133333333333333,NA,NA,NA,NA,NA,NA,NA
"6","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\020409.cha","020409.cha","eng","Barbara","CHI","3sgF",NA,NA,NA,NA,0.0133333333333333,NA,NA,NA,NA,NA,NA,NA
"7","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\020409.cha","020409.cha","eng","Barbara","CHI","3sgM",NA,NA,NA,NA,0.0133333333333333,NA,NA,NA,NA,NA,NA,NA
"8","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\020409.cha","020409.cha","eng","Barbara","CHI","3sgN",NA,NA,NA,NA,0.0555555555555556,NA,NA,NA,NA,NA,NA,NA
"9","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\020616.cha","020616.cha","eng","Barbara","CHI","1pl",NA,NA,NA,NA,NA,NA,0.00322997416020672,NA,NA,NA,NA,NA
"10","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\020616.cha","020616.cha","eng","Barbara","CHI","1sg",NA,NA,NA,NA,NA,NA,0.0348837209302326,NA,NA,NA,NA,NA
"11","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\020616.cha","020616.cha","eng","Barbara","CHI","2",NA,NA,NA,NA,NA,NA,0.0684754521963824,NA,NA,NA,NA,NA
"12","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\020616.cha","020616.cha","eng","Barbara","CHI","3",NA,NA,NA,NA,NA,NA,0.153100775193798,NA,NA,NA,NA,NA
"13","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\020616.cha","020616.cha","eng","Barbara","CHI","3pl",NA,NA,NA,NA,NA,NA,0.0180878552971576,NA,NA,NA,NA,NA
"14","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\020616.cha","020616.cha","eng","Barbara","CHI","3sgF",NA,NA,NA,NA,NA,NA,0.0516795865633075,NA,NA,NA,NA,NA
"15","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\020616.cha","020616.cha","eng","Barbara","CHI","3sgM",NA,NA,NA,NA,NA,NA,0.0142118863049096,NA,NA,NA,NA,NA
"16","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\020616.cha","020616.cha","eng","Barbara","CHI","3sgN",NA,NA,NA,NA,NA,NA,0.0691214470284238,NA,NA,NA,NA,NA
"17","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\020708.cha","020708.cha","eng","Barbara","CHI","1pl",NA,NA,NA,NA,NA,NA,NA,0.00406173842404549,NA,NA,NA,NA
"18","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\020708.cha","020708.cha","eng","Barbara","CHI","1sg",NA,NA,NA,NA,NA,NA,NA,0.0503655564581641,NA,NA,NA,NA
"19","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\020708.cha","020708.cha","eng","Barbara","CHI","2",NA,NA,NA,NA,NA,NA,NA,0.0706742485783916,NA,NA,NA,NA
"20","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\020708.cha","020708.cha","eng","Barbara","CHI","3",NA,NA,NA,NA,NA,NA,NA,0.166531275385865,NA,NA,NA,NA
"21","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\020708.cha","020708.cha","eng","Barbara","CHI","3pl",NA,NA,NA,NA,NA,NA,NA,0.0617384240454915,NA,NA,NA,NA
"22","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\020708.cha","020708.cha","eng","Barbara","CHI","3sgF",NA,NA,NA,NA,NA,NA,NA,0.00324939073923639,NA,NA,NA,NA
"23","C:\My\studies\UIT\FLA\code\English\Belfast\Barbara\020708.cha","020708.cha","eng","Barbara","CHI","3sgM",NA,NA,NA,NA,NA,NA,NA,0.0235580828594639,NA,NA,NA,NA
